,buyEnd,buyStart,date,sellEnd,sellStart
230,20.7650,20.7630,2018-05-07,20.9650,20.9630
231,20.7490,20.8150,2018-05-04,20.9490,21.0150
232,20.7690,20.7600,2018-05-03,20.9690,20.9600
233,20.8130,20.6520,2018-05-02,21.0130,20.8520
234,20.8120,20.8470,2018-04-30,21.0120,21.0470
235,20.7790,20.8540,2018-04-27,20.9790,21.0540
236,20.8760,20.8680,2018-04-26,21.0760,21.0680
237,20.8860,20.9420,2018-04-25,21.0860,21.1420
238,20.9580,21.0190,2018-04-24,21.1580,21.2190
239,21.1390,21.0960,2018-04-23,21.3390,21.2960
240,21.1700,21.2000,2018-04-20,21.3700,21.4000
241,21.3530,21.3500,2018-04-19,21.5530,21.5500
242,21.3670,21.4130,2018-04-18,21.5670,21.6130
243,21.4610,21.5590,2018-04-17,21.6610,21.7590
244,21.5420,21.4490,2018-04-16,21.7420,21.6490
245,21.5540,21.4860,2018-04-13,21.7540,21.6860
246,21.5000,21.4340,2018-04-12,21.7000,21.6340
247,21.3910,21.3890,2018-04-11,21.5910,21.5890
248,21.2990,21.2610,2018-04-10,21.4990,21.4610
249,21.1910,21.2060,2018-04-09,21.3910,21.4060
250,21.0340,20.9060,2018-04-03,21.2340,21.1060
251,20.9760,20.9330,2018-04-02,21.1760,21.1330
252,20.9880,20.9860,2018-03-31,21.1880,21.1860
253,20.9790,20.9580,2018-03-30,21.1790,21.1580
254,20.8820,20.8970,2018-03-29,21.0820,21.0970
255,21.0380,21.0720,2018-03-28,21.2380,21.2720
256,21.1080,21.1340,2018-03-27,21.3080,21.3340
257,21.1330,21.0540,2018-03-26,21.3330,21.2540
258,21.0160,21.0050,2018-03-23,21.2160,21.2050
259,21.0210,20.9790,2018-03-22,21.2210,21.1790
260,20.8390,20.8590,2018-03-21,21.0390,21.0590
261,20.9400,21.0320,2018-03-20,21.1400,21.2320
262,20.9140,20.9860,2018-03-19,21.1140,21.1860
263,21.0720,21.1150,2018-03-16,21.2720,21.3150
264,21.2720,21.3100,2018-03-15,21.4720,21.5100
265,21.3340,21.3370,2018-03-14,21.5340,21.5370
266,21.2960,21.2700,2018-03-13,21.4960,21.4700
267,21.3150,21.2480,2018-03-12,21.5150,21.4480
268,21.2110,21.1500,2018-03-09,21.4110,21.3500
269,21.2110,21.2050,2018-03-08,21.4110,21.4050
270,21.2300,21.2090,2018-03-07,21.4300,21.4090
271,21.1000,21.0580,2018-03-06,21.3000,21.2580
272,20.9970,21.0550,2018-03-05,21.1970,21.2550
273,21.1640,21.1850,2018-03-02,21.3640,21.3850
274,21.0200,21.0060,2018-03-01,21.2200,21.2060
275,21.1990,21.2150,2018-02-27,21.3990,21.4150
276,21.3660,21.2210,2018-02-26,21.5660,21.4210
277,21.3010,21.3240,2018-02-23,21.5010,21.5240
278,21.3040,21.3110,2018-02-22,21.5040,21.5110
279,21.3490,21.3960,2018-02-21,21.5490,21.5960
280,21.3390,21.2570,2018-02-14,21.5390,21.4570
281,21.2740,21.2000,2018-02-13,21.4740,21.4000
282,21.2010,21.1720,2018-02-12,21.4010,21.3720
283,21.1040,21.1310,2018-02-09,21.3040,21.3310
284,21.0530,21.0230,2018-02-08,21.2530,21.2230
285,21.2990,21.3570,2018-02-07,21.4990,21.5570
286,21.3430,21.2730,2018-02-06,21.5430,21.4730
287,21.2960,21.3480,2018-02-05,21.4960,21.5480
288,21.4230,21.4650,2018-02-02,21.6230,21.6650
289,21.3630,21.3750,2018-02-01,21.5630,21.5750
290,21.4010,21.3580,2018-01-31,21.6010,21.5580
291,21.1860,21.2850,2018-01-30,21.3860,21.4850
292,21.2530,21.2750,2018-01-29,21.4530,21.4750
293,21.3100,21.2220,2018-01-26,21.5100,21.4220
294,21.3010,21.3830,2018-01-25,21.5010,21.5830
295,21.4700,21.4730,2018-01-24,21.6700,21.6730
296,21.3420,21.3720,2018-01-23,21.5420,21.5720
297,21.2760,21.3160,2018-01-22,21.4760,21.5160
298,21.3470,21.4480,2018-01-19,21.5470,21.6480
299,21.4530,21.3480,2018-01-18,21.6530,21.5480
300,21.3410,21.4140,2018-01-17,21.5410,21.6140
301,21.4310,21.4360,2018-01-16,21.6310,21.6360
302,21.3880,21.3480,2018-01-15,21.5880,21.5480
303,21.3220,21.3850,2018-01-12,21.5220,21.5850
304,21.2320,21.1910,2018-01-11,21.4320,21.3910
305,21.1360,21.0490,2018-01-10,21.3360,21.2490
306,21.1050,21.0990,2018-01-09,21.3050,21.2990
307,21.0230,21.0570,2018-01-08,21.2230,21.2570
308,21.0050,21.0530,2018-01-05,21.2050,21.2530
309,20.9660,20.8780,2018-01-04,21.1660,21.0780
310,20.8700,20.9020,2018-01-03,21.0700,21.1020
311,20.9920,21.0320,2018-01-02,21.1920,21.2320
312,21.0680,21.0290,2017-12-29,21.2680,21.2290
313,21.0430,21.0730,2017-12-28,21.2430,21.2730
314,21.0280,20.9500,2017-12-27,21.2280,21.1500
315,20.9560,20.9530,2017-12-26,21.1560,21.1530
316,20.9490,20.9290,2017-12-25,21.1490,21.1290
317,20.9240,20.9340,2017-12-22,21.1240,21.1340
318,20.8640,20.8900,2017-12-21,21.0640,21.0900
319,20.8180,20.8400,2017-12-20,21.0180,21.0400
320,20.9260,20.9240,2017-12-19,21.1260,21.1240
321,20.9790,20.9000,2017-12-18,21.1790,21.1000
322,20.9610,20.8610,2017-12-15,21.1610,21.0610
323,20.9200,20.9250,2017-12-14,21.1200,21.1250
324,20.7660,20.7650,2017-12-13,20.9660,20.9650
325,20.7420,20.6490,2017-12-12,20.9420,20.8490
326,20.6690,20.4650,2017-12-11,20.8690,20.6650
327,20.4280,20.4130,2017-12-08,20.6280,20.6130
328,20.4340,20.5270,2017-12-07,20.6340,20.7270
329,20.5920,20.5680,2017-12-06,20.7920,20.7680
330,20.5350,20.5700,2017-12-05,20.7350,20.7700
331,20.4680,20.5030,2017-12-04,20.6680,20.7030
332,20.4020,20.4150,2017-12-01,20.6020,20.6150
333,20.4210,20.4410,2017-11-30,20.6210,20.6410
334,20.6180,20.5660,2017-11-29,20.8180,20.7660
335,20.6860,20.6490,2017-11-28,20.8860,20.8490
336,20.5330,20.5010,2017-11-27,20.7330,20.7010
337,20.4990,20.5210,2017-11-24,20.6990,20.7210
338,20.5490,20.4890,2017-11-23,20.7490,20.6890
339,20.4200,20.4510,2017-11-22,20.6200,20.6510
340,20.3540,20.4020,2017-11-21,20.5540,20.6020
341,20.4670,20.3820,2017-11-20,20.6670,20.5820
342,20.3490,20.5670,2017-11-17,20.5490,20.7670
343,20.5640,20.5530,2017-11-16,20.7640,20.7530
344,20.6370,20.6420,2017-11-15,20.8370,20.8420
345,20.5700,20.6970,2017-11-14,20.7700,20.8970
346,20.7930,20.8030,2017-11-13,20.9930,21.0030
347,20.8140,20.8830,2017-11-10,21.0140,21.0830
348,20.9260,20.8700,2017-11-09,21.1260,21.0700
349,20.7360,20.7390,2017-11-08,20.9360,20.9390
350,20.7910,20.8790,2017-11-07,20.9910,21.0790
351,20.7030,20.7390,2017-11-06,20.9030,20.9390
352,20.7950,20.7780,2017-11-03,20.9950,20.9780
353,20.7620,20.7400,2017-11-02,20.9620,20.9400
354,20.7750,20.6640,2017-11-01,20.9750,20.8640
355,20.5530,20.5660,2017-10-31,20.7530,20.7660
356,20.5930,20.6470,2017-10-30,20.7930,20.8470
357,20.5850,20.5860,2017-10-27,20.7850,20.7860
358,20.6890,20.6860,2017-10-26,20.8890,20.8860
359,20.7590,20.7770,2017-10-25,20.9590,20.9770
360,20.8710,21.0280,2017-10-24,21.0710,21.2280
361,21.0080,20.9100,2017-10-23,21.2080,21.1100
362,21.0050,21.0510,2017-10-20,21.2050,21.2510
363,21.1650,21.5250,2017-10-19,21.3650,21.7250
364,21.4440,21.5300,2017-10-18,21.6440,21.7300
365,21.5780,21.5820,2017-10-17,21.7780,21.7820
366,21.5700,21.5500,2017-10-16,21.7700,21.7500
367,21.4710,21.4560,2017-10-13,21.6710,21.6560
368,21.3880,21.3380,2017-10-12,21.5880,21.5380
369,21.2830,21.3720,2017-10-11,21.4830,21.5720
370,21.4840,21.4710,2017-10-06,21.6840,21.6710
371,21.5980,21.6850,2017-10-05,21.7980,21.8850
372,21.7200,21.7240,2017-10-03,21.9200,21.9240
373,21.7060,21.7220,2017-10-02,21.9060,21.9220
374,21.7240,21.7570,2017-09-30,21.9240,21.9570
375,21.7790,21.8370,2017-09-29,21.9790,22.0370
376,21.7740,21.8260,2017-09-28,21.9740,22.0260
377,21.6870,21.6630,2017-09-27,21.8870,21.8630
378,21.7130,21.7870,2017-09-26,21.9130,21.9870
379,21.8920,21.8780,2017-09-25,22.0920,22.0780
380,21.9790,21.9050,2017-09-22,22.1790,22.1050
381,22.0180,22.0350,2017-09-21,22.2180,22.2350
382,22.0430,21.9340,2017-09-20,22.2430,22.1340
383,21.8490,21.7710,2017-09-19,22.0490,21.9710
384,21.8680,21.8170,2017-09-18,22.0680,22.0170
385,21.6670,21.6090,2017-09-15,21.8670,21.8090
386,21.6890,21.7120,2017-09-14,21.8890,21.9120
387,21.8280,21.7350,2017-09-13,22.0280,21.9350
388,21.8360,21.6600,2017-09-12,22.0360,21.8600
389,21.7020,21.5750,2017-09-11,21.9020,21.7750
390,21.7710,21.7030,2017-09-08,21.9710,21.9030
391,21.5090,21.5860,2017-09-07,21.7090,21.7860
392,21.6570,21.6950,2017-09-06,21.8570,21.8950
393,21.4820,21.4530,2017-09-05,21.6820,21.6530
394,21.4690,21.5490,2017-09-04,21.6690,21.7490
395,21.4570,21.5560,2017-09-01,21.6570,21.7560
396,21.5090,21.6230,2017-08-31,21.7090,21.8230
397,21.7720,21.7960,2017-08-30,21.9720,21.9960
398,21.8250,21.7720,2017-08-29,22.0250,21.9720
399,21.7390,21.7450,2017-08-28,21.9390,21.9450
400,21.7140,21.6890,2017-08-25,21.9140,21.8890
401,21.6730,21.7830,2017-08-24,21.8730,21.9830
402,21.7840,21.8500,2017-08-23,21.9840,22.0500
403,22.0200,22.1230,2017-08-22,22.2200,22.3230
404,22.0640,22.0720,2017-08-21,22.2640,22.2720
405,22.0790,22.0250,2017-08-18,22.2790,22.2250
406,22.0690,22.0480,2017-08-17,22.2690,22.2480
407,21.8800,21.8220,2017-08-16,22.0800,22.0220
408,21.9690,22.0030,2017-08-15,22.1690,22.2030
409,22.0080,22.0930,2017-08-14,22.2080,22.2930
410,22.0070,21.9850,2017-08-11,22.2070,22.1850
411,21.9290,22.1220,2017-08-10,22.1290,22.3220
412,22.0130,22.0030,2017-08-09,22.2130,22.2030
413,22.1110,22.1260,2017-08-08,22.3110,22.3260
414,22.1810,22.3050,2017-08-07,22.3810,22.5050
415,22.3700,22.3590,2017-08-04,22.5700,22.5590
416,22.2490,22.2920,2017-08-03,22.4490,22.4920
417,22.3300,22.3620,2017-08-02,22.5300,22.5620
418,22.5810,22.5790,2017-08-01,22.7810,22.7790
419,22.5250,22.6580,2017-07-31,22.7250,22.8580
420,22.5560,22.5940,2017-07-28,22.7560,22.7940
421,22.6790,22.6830,2017-07-27,22.8790,22.8830
422,22.4480,22.4690,2017-07-26,22.6480,22.6690
423,22.4370,22.4650,2017-07-25,22.6370,22.6650
424,22.4450,22.5400,2017-07-24,22.6450,22.7400
425,22.5200,22.4040,2017-07-21,22.7200,22.6040
426,22.2480,22.2660,2017-07-20,22.4480,22.4660
427,22.2690,22.2000,2017-07-19,22.4690,22.4000
428,22.2070,22.0470,2017-07-18,22.4070,22.2470
429,22.1510,22.1600,2017-07-17,22.3510,22.3600
430,22.1530,22.1370,2017-07-14,22.3530,22.3370
431,22.0980,21.9880,2017-07-13,22.2980,22.1880
432,21.9500,21.9690,2017-07-12,22.1500,22.1690
433,22.0170,22.0760,2017-07-11,22.2170,22.2760
434,22.1650,22.1030,2017-07-10,22.3650,22.3030
435,22.1700,22.1720,2017-07-07,22.3700,22.3720
436,22.1670,22.0820,2017-07-06,22.3670,22.2820
437,22.0690,22.1200,2017-07-05,22.2690,22.3200
438,22.1040,22.0810,2017-07-04,22.3040,22.2810
439,22.1320,22.1920,2017-07-03,22.3320,22.3920
440,22.1960,22.1780,2017-06-30,22.3960,22.3780
441,22.0950,22.0940,2017-06-29,22.2950,22.2940
442,22.0050,22.0070,2017-06-28,22.2050,22.2070
443,22.1550,21.9960,2017-06-27,22.3550,22.1960
444,21.9580,21.9890,2017-06-26,22.1580,22.1890
445,22.0320,21.9710,2017-06-23,22.2320,22.1710
446,21.9870,21.9310,2017-06-22,22.1870,22.1310
447,21.9070,21.8950,2017-06-21,22.1070,22.0950
448,21.9440,21.8560,2017-06-20,22.1440,22.0560
449,21.9460,21.9520,2017-06-19,22.1460,22.1520
450,21.8370,21.7190,2017-06-16,22.0370,21.9190
451,21.7690,21.7680,2017-06-15,21.9690,21.9680
452,21.7620,21.7290,2017-06-14,21.9620,21.9290
453,21.6920,21.6780,2017-06-13,21.8920,21.8780
454,21.5690,21.6150,2017-06-12,21.7690,21.8150
455,21.6040,21.6060,2017-06-09,21.8040,21.8060
456,21.5930,21.5770,2017-06-08,21.7930,21.7770
457,21.5330,21.5010,2017-06-07,21.7330,21.7010
458,21.4820,21.3610,2017-06-06,21.6820,21.5610
459,21.3400,21.3720,2017-06-05,21.5400,21.5720
460,21.3890,21.3850,2017-06-03,21.5890,21.5850
461,21.1940,21.1620,2017-06-02,21.3940,21.3620
462,21.2030,21.2230,2017-06-01,21.4030,21.4230
463,21.2430,21.2950,2017-05-31,21.4430,21.4950
464,21.0990,21.0280,2017-05-26,21.2990,21.2280
465,21.0490,21.0980,2017-05-25,21.2490,21.2980
466,21.0440,21.0580,2017-05-24,21.2440,21.2580
467,21.0670,20.9050,2017-05-23,21.2670,21.1050
468,20.7810,20.7130,2017-05-22,20.9810,20.9130
469,20.6950,20.7570,2017-05-19,20.8950,20.9570
470,20.8200,20.8290,2017-05-18,21.0200,21.0290
471,20.6630,20.6380,2017-05-17,20.8630,20.8380
472,20.6420,20.6410,2017-05-16,20.8420,20.8410
473,20.6570,20.6290,2017-05-15,20.8570,20.8290
474,20.5740,20.5190,2017-05-12,20.7740,20.7190
475,20.6060,20.5600,2017-05-11,20.8060,20.7600
476,20.8440,20.7700,2017-05-10,21.0440,20.9700
477,20.7500,20.7930,2017-05-09,20.9500,20.9930
478,20.8400,20.6970,2017-05-08,21.0400,20.8970
